afluencia_name,osm_name,similarity,candidatos
Mixcoac,,0.5714285714285714,Ticomán | Martín Carrera | Tlalpexco
Mixiuhca,,0.4117647058823529,Terminal Mexibús Mexicable | Martín Carrera | México Central Norte
Moctezuma,,0.5,Oceanía | Fortuna | Cuitláhuac
Morelos,Morelos,1.0,
Múzquiz,,0.3157894736842105,Romero Rubio | Metrobús Linea 4 | Poza Rica
Nativitas,,0.631578947368421,Lindavista | Buenavista | Fátima
Nezahualcóyotl,Nezahualcóyotl,1.0,
Niños Héroes,,0.72,Indios Verdes | Los Bordos | Paradero de Indios Verdes
Nopalera,,0.5714285714285714,Normal | Santa Clara | Hank González
Normal,Normal,1.0,
Norte 45,Norte 45,1.0,
Obrera,,0.6153846153846154,Potrero | Normal | La Forestal
Observatorio,,0.5833333333333334,Romero Rubio | Campos Revolución | Misterios
Oceanía,Oceanía,1.0,
Olivos,,0.6153846153846154,Morelos | Deportivo | Revolución
Olímpica,,0.5263157894736842,Politécnico | Colegio Militar | Talismán
Panteones,,0.5,Potrero | Hank González | Zacatenco
Pantitlán,,0.5333333333333333,Fátima | Santa Clara | Popotla
Parque de los Venados,,0.6521739130434783,Paradero de Indios Verdes | Río de los Remedios | León de los Aldama
Patriotismo,,0.5,Misterios | Deportivo | Fátima
Periférico Oriente,,0.7142857142857143,Periférico | Metro Politécnico (Poniente) | México Central Norte
Peñón viejo,,0.4444444444444444,Vallejo | Romero Rubio | Indios Verdes
Pino Suárez,,0.48,Martín Carrera | Potrero | Deportivo 18 de Marzo
Plaza Aragón,,0.6666666666666666,Villa de Aragón | Aragón | Santa Clara
Polanco,,0.6666666666666666,Politécnico | Popotla | Zacatenco
Politécnico,Politécnico,1.0,
Popotla,Popotla,1.0,
Portales,,0.5714285714285714,Normal | Potrero | Popotla
Potrero,Potrero,1.0,
Puebla,,0.5333333333333333,Impulsora | Popotla | Consulado
Refinería,,0.5,Oceanía | Misterios | Revolución
Revolución,Revolución,1.0,
Ricardo Flores Magón,,0.55,Carlos Hank González | La Forestal | Martín Carrera
Romero Rubio,Romero Rubio,1.0,
Río de los Remedios,Río de los Remedios,1.0,
Salto del Agua,,0.6428571428571429,Tanque de Agua | León de los Aldama | Garibaldi-Lagunilla
San Andrés Tomatlán,,0.5333333333333333,"La Forestal | San Isidro | Estación Méxicable ""Fátima"""
San Antonio,,0.5,San Cosme | San Isidro | Aragón
San Antonio Abad,,0.4444444444444444,Santa Clara | Estación de autobuses Politécnico-Universidad | Hank González
San Cosme,San Cosme,1.0,
San Joaquín,,0.5,San Cosme | San Isidro | Santa Clara
San Juan de Letrán,,0.5294117647058824,Bosque de Aragón | Tanque de Agua | Villa de Aragón
San Lázaro,,0.6666666666666666,Santa Clara | San Isidro | La Raza
San Pedro de los Pinos,,0.6341463414634146,Río de los Remedios | San Felipe de Jesús (León de los Aldama) | Base San Pedro Santa Clara La Presa
Santa Anita,,0.7272727272727273,Santa Clara | San Isidro | La Pastora
Santa Marta,,0.8181818181818182,Santa Clara | San Cosme | San Isidro
Sevilla,,0.6666666666666666,La Villa | Lagunilla | Buenavista
Tacuba,,0.47058823529411764,Santa Clara | Talismán | Zacatenco
Tacubaya,,0.5263157894736842,Santa Clara | La Cañada | Tanque de Agua
Talismán,Talismán,1.0,
Tasqueña,,0.5454545454545454,Tanque de Agua | Fortuna | Talismán
Tepalcates,,0.5333333333333333,Ampliación Malacates | Zacatenco | Tlatelolco
Tepito,Tepito,1.0,
Terminal Aérea,,0.7692307692307693,Terminal ETT | Terminal Metro Revolucion | Terminal Mexibús Mexicable
Tezonco,,0.625,Zacatenco | Tlatelolco | Politécnico
Tezozómoc,,0.42105263157894735,Tlatelolco | Tablas del Pozo | Tepito
Tlaltenco,,0.7777777777777778,Tlalpexco | Tlatelolco | Zacatenco
Tlatelolco,Tlatelolco,1.0,
Tláhuac,,0.8235294117647058,Cuitláhuac | Tlalpexco | Lagunilla
UAM-Azcapotzalco,,0.48,Zacatenco | CETRAM Politécnico | CETRAM Potrero
UAM-I,,0.46153846153846156,La Villa | Poza Rica | Eduardo Molina
Universidad,,0.5,Indios Verdes | San Isidro | Buenavista
Valle Gómez,Valle Gómez,1.0,
Vallejo,Vallejo,1.0,
Velódromo,,0.4444444444444444,Bondojito | Tlatelolco | Los Bordos
Viaducto,,0.47058823529411764,Zacatenco | Revolución | Cuitláhuac
Villa de Aragón,Villa de Aragón,1.0,
Villa de Cortés,,0.6666666666666666,Villa de Aragón | Canal del Norte | Lomas de Cuautepec
Viveros/Derechos Humanos,,0.46153846153846156,Río de Remedios | Deportivo 18 de Marzo | CETRAM 18 de Marzo
Xola,,0.5454545454545454,Popotla | Consulado | Normal
Zapata,,0.625,La Pastora | Zacatenco | Fátima
Zapotitlán,,0.5882352941176471,Popotla | Fátima | Politécnico
Zaragoza,,0.7142857142857143,Aragón | Zacatenco | Villa de Aragón
Zócalo/Tenochtitlan,,0.5,Zacatenco | Autobuses Teotihuacán | Nezahualcóyotl
